text,label
Urgent: Your ATM card linked to zJx6yCj5 has been blocked.,spam
You have been selected for a special Headphones prize.,spam
Your account nFKzzrkv needs urgent verification.,spam
Meeting moved to 3:52 at Mall.,ham
Urgent: Your ATM card linked to yvCuUrN0 has been blocked.,spam
Meeting moved to 2:40 at Mall.,ham
Meeting moved to 10:41 at Mall.,ham
Please call me when you're free Amit.,ham
Reminder: appointment scheduled on 9/12/2025.,ham
"Hey, are we meeting at Café Coffee Day around 7:16?",ham
I will reach office by 12:11.,ham
Congratulations! You have won ₹19607. Claim now!,spam
Congratulations! You have won ₹15649. Claim now!,spam
Meeting moved to 4:44 at SG Highway.,ham
Urgent: Your ATM card linked to d2jkCZMa has been blocked.,spam
Your account Z360jCMX needs urgent verification.,spam
Please send the files for project 3vk1D.,ham
Your loan of ₹15208 is pre-approved. Apply instantly.,spam
Meeting moved to 10:52 at Mall.,ham
Meeting moved to 9:47 at Railway Station.,ham
Limited time deal on Laptop. Click to activate.,spam
Let's catch up at SG Highway this weekend.,ham
Urgent: Your ATM card linked to VzIiwVz4 has been blocked.,spam
Reminder: appointment scheduled on 11/12/2025.,ham
Congratulations! You have won ₹8252. Claim now!,spam
Win a free Headphones today! Offer code bMRfN.,spam
Can you review my code update 1fzSy?,ham
Please send the files for project 27ycr.,ham
Verify your KYC details to receive ₹4917 cashback.,spam
Congratulations! You have won ₹7602. Claim now!,spam
Your loan of ₹18106 is pre-approved. Apply instantly.,spam
Exclusive reward for user ODgZ1i. Redeem before midnight.,spam
Urgent: Your ATM card linked to G4nP3HR2 has been blocked.,spam
Let's catch up at Mall this weekend.,ham
Your account V8DG36rF needs urgent verification.,spam
Congratulations! You have won ₹9818. Claim now!,spam
Urgent: Your ATM card linked to UozHwfqW has been blocked.,spam
I will reach office by 11:56.,ham
Verify your KYC details to receive ₹6609 cashback.,spam
Meeting moved to 5:58 at Office.,ham
Free subscription to Voucher for 30 days. Claim now.,spam
Urgent: Your ATM card linked to mGmfuT5j has been blocked.,spam
Meeting moved to 5:42 at Office.,ham
Reminder: appointment scheduled on 8/12/2025.,ham
Limited time deal on Headphones. Click to activate.,spam
Your account Qt7F9Pn3 needs urgent verification.,spam
Free subscription to Headphones for 30 days. Claim now.,spam
Your account y6aUoH6B needs urgent verification.,spam
Urgent: Your ATM card linked to avpXqij4 has been blocked.,spam
Please send the files for project Kesoj.,ham
Verify your KYC details to receive ₹19487 cashback.,spam
Reminder: appointment scheduled on 24/12/2025.,ham
Your account SmILHY6u needs urgent verification.,spam
I will reach office by 11:47.,ham
Your loan of ₹12514 is pre-approved. Apply instantly.,spam
Exclusive reward for user Uadx5p. Redeem before midnight.,spam
Reminder: appointment scheduled on 23/12/2025.,ham
Can you review my code update JdPSU?,ham
Your loan of ₹9340 is pre-approved. Apply instantly.,spam
Free subscription to Gift Card for 30 days. Claim now.,spam
Your account azcCdDkD needs urgent verification.,spam
Your loan of ₹17061 is pre-approved. Apply instantly.,spam
"Hey, are we meeting at Restaurant around 6:28?",ham
Reminder: appointment scheduled on 27/12/2025.,ham
Your loan of ₹19616 is pre-approved. Apply instantly.,spam
Urgent: Your ATM card linked to XhCIxCDj has been blocked.,spam
Reminder: appointment scheduled on 12/12/2025.,ham
Your loan of ₹5743 is pre-approved. Apply instantly.,spam
Your account I12N1TJE needs urgent verification.,spam
Meeting moved to 5:29 at Office.,ham
Exclusive reward for user N8uWWh. Redeem before midnight.,spam
Meeting moved to 1:33 at Railway Station.,ham
Your loan of ₹4473 is pre-approved. Apply instantly.,spam
Can you review my code update Omfji?,ham
Verify your KYC details to receive ₹14568 cashback.,spam
Urgent: Your ATM card linked to c5Q1m9Q0 has been blocked.,spam
Congratulations! You have won ₹4825. Claim now!,spam
Did you submit the assignment for Maths?,ham
Exclusive reward for user vIlLvP. Redeem before midnight.,spam
Urgent: Your ATM card linked to jFdTrAsC has been blocked.,spam
Urgent: Your ATM card linked to DsaPwZ4E has been blocked.,spam
Meeting moved to 1:22 at Mall.,ham
Win a free Voucher today! Offer code CsIMQ.,spam
Urgent: Your ATM card linked to hG4c7qDu has been blocked.,spam
Please send the files for project jpdMh.,ham
"Hey, are we meeting at SG Highway around 1:30?",ham
Exclusive reward for user 9mnVzI. Redeem before midnight.,spam
Meeting moved to 5:10 at SG Highway.,ham
Urgent: Your ATM card linked to JAYboEn3 has been blocked.,spam
Reminder: appointment scheduled on 14/12/2025.,ham
Urgent: Your ATM card linked to U8Deg9XD has been blocked.,spam
Exclusive reward for user QF1BGt. Redeem before midnight.,spam
Congratulations! You have won ₹17077. Claim now!,spam
Please call me when you're free Priya.,ham
"Hey, are we meeting at Mall around 9:43?",ham
Congratulations! You have won ₹18255. Claim now!,spam
Your loan of ₹10966 is pre-approved. Apply instantly.,spam
I will reach office by 8:52.,ham
Your account xyEG5Hdf needs urgent verification.,spam
Urgent: Your ATM card linked to sFqrufZY has been blocked.,spam
Win a free Voucher today! Offer code iHIiQ.,spam
Exclusive reward for user xWdZsu. Redeem before midnight.,spam
Congratulations! You have won ₹13255. Claim now!,spam
Your loan of ₹5283 is pre-approved. Apply instantly.,spam
Please send the files for project 6Ysvs.,ham
You have been selected for a special Smartwatch prize.,spam
Can you review my code update V8KCL?,ham
I will reach office by 2:58.,ham
"Hey, are we meeting at Office around 1:30?",ham
Meeting moved to 5:20 at Office.,ham
I will reach office by 3:12.,ham
Happy birthday Amit! Have a great day.,ham
Urgent: Your ATM card linked to QGYipSp4 has been blocked.,spam
Urgent: Your ATM card linked to o3z6kQCc has been blocked.,spam
Please send the files for project w6soN.,ham
Verify your KYC details to receive ₹6007 cashback.,spam
Can you review my code update 2bZke?,ham
Meeting moved to 2:34 at Mall.,ham
Exclusive reward for user BfUmyK. Redeem before midnight.,spam
Please send the files for project xQa9C.,ham
Verify your KYC details to receive ₹827 cashback.,spam
Can you review my code update QGf5B?,ham
Can you review my code update 8PI2n?,ham
Please send the files for project SE2ld.,ham
Your loan of ₹6640 is pre-approved. Apply instantly.,spam
Verify your KYC details to receive ₹4322 cashback.,spam
Your account sDU4Y8qb needs urgent verification.,spam
Can you review my code update PPXqJ?,ham
Did you submit the assignment for ML?,ham
Exclusive reward for user vxfe4i. Redeem before midnight.,spam
Limited time deal on Gift Card. Click to activate.,spam
Your loan of ₹8359 is pre-approved. Apply instantly.,spam
Please send the files for project HjPyH.,ham
Win a free Gift Card today! Offer code iKlCp.,spam
Meeting moved to 7:39 at Office.,ham
Exclusive reward for user RelwDb. Redeem before midnight.,spam
Meeting moved to 12:50 at SG Highway.,ham
Your account KbXbBLSZ needs urgent verification.,spam
Meeting moved to 10:21 at Café Coffee Day.,ham
You have been selected for a special Laptop prize.,spam
Your account sEQDlyE2 needs urgent verification.,spam
Exclusive reward for user MWz99M. Redeem before midnight.,spam
Please send the files for project kgeWw.,ham
Your loan of ₹16529 is pre-approved. Apply instantly.,spam
"Hey, are we meeting at SG Highway around 3:18?",ham
Verify your KYC details to receive ₹9690 cashback.,spam
Win a free iPhone today! Offer code jixoJ.,spam
Can you review my code update w1zIT?,ham
Can you review my code update nIYdw?,ham
"Hey, are we meeting at Restaurant around 11:46?",ham
Can you review my code update MDbSO?,ham
Can you review my code update 14JDk?,ham
Verify your KYC details to receive ₹8573 cashback.,spam
Reminder: appointment scheduled on 22/12/2025.,ham
Reminder: appointment scheduled on 28/12/2025.,ham
"Hey, are we meeting at Restaurant around 5:26?",ham
I will reach office by 9:52.,ham
Can you review my code update gk1HZ?,ham
Exclusive reward for user aGNByT. Redeem before midnight.,spam
"Hey, are we meeting at Restaurant around 12:46?",ham
Please send the files for project mzTMe.,ham
"Hey, are we meeting at Office around 3:58?",ham
Congratulations! You have won ₹9127. Claim now!,spam
I will reach office by 4:15.,ham
Congratulations! You have won ₹6548. Claim now!,spam
Win a free Headphones today! Offer code MFvDW.,spam
Your account 5952Pe6t needs urgent verification.,spam
Please send the files for project FApKT.,ham
Your loan of ₹16737 is pre-approved. Apply instantly.,spam
Your account ZTY15rAt needs urgent verification.,spam
Your loan of ₹16594 is pre-approved. Apply instantly.,spam
Exclusive reward for user ToY8K0. Redeem before midnight.,spam
Verify your KYC details to receive ₹14630 cashback.,spam
Meeting moved to 1:54 at Restaurant.,ham
Please send the files for project C5ZWS.,ham
I will reach office by 12:17.,ham
Verify your KYC details to receive ₹5769 cashback.,spam
I will reach office by 2:41.,ham
Please send the files for project AC4OM.,ham
Your loan of ₹16234 is pre-approved. Apply instantly.,spam
Win a free Voucher today! Offer code fPaoX.,spam
Win a free Laptop today! Offer code wpCN3.,spam
Win a free Voucher today! Offer code ZZXeZ.,spam
Exclusive reward for user wWVimn. Redeem before midnight.,spam
Your loan of ₹13695 is pre-approved. Apply instantly.,spam
Congratulations! You have won ₹8949. Claim now!,spam
Your account kmpvUAB9 needs urgent verification.,spam
Your loan of ₹18508 is pre-approved. Apply instantly.,spam
Congratulations! You have won ₹6943. Claim now!,spam
Free subscription to Smartwatch for 30 days. Claim now.,spam
Please send the files for project Tpm2K.,ham
Can you review my code update fSFbI?,ham
Congratulations! You have won ₹740. Claim now!,spam
"Hey, are we meeting at Railway Station around 2:36?",ham
Please send the files for project QuNIP.,ham
I will reach office by 7:12.,ham
Can you review my code update Vlu78?,ham
Verify your KYC details to receive ₹8041 cashback.,spam
Your loan of ₹9958 is pre-approved. Apply instantly.,spam
Your loan of ₹12711 is pre-approved. Apply instantly.,spam
Win a free Voucher today! Offer code d1A7H.,spam
Urgent: Your ATM card linked to L0yMNw1J has been blocked.,spam
Urgent: Your ATM card linked to rTpC4V2I has been blocked.,spam
I will reach office by 2:48.,ham
Verify your KYC details to receive ₹13634 cashback.,spam
Your loan of ₹785 is pre-approved. Apply instantly.,spam
Let's catch up at Restaurant this weekend.,ham
I will reach office by 10:39.,ham
Limited time deal on iPhone. Click to activate.,spam
Win a free Laptop today! Offer code g9PnM.,spam
Can you review my code update zEwAZ?,ham
Your account JJLrtoaC needs urgent verification.,spam
I will reach office by 12:19.,ham
"Hey, are we meeting at Mall around 4:44?",ham
Urgent: Your ATM card linked to RD8PFRyC has been blocked.,spam
Urgent: Your ATM card linked to IdmaAZo5 has been blocked.,spam
Win a free iPhone today! Offer code EhfQb.,spam
Your account QRVIbZSH needs urgent verification.,spam
Verify your KYC details to receive ₹4925 cashback.,spam
I will reach office by 7:48.,ham
Urgent: Your ATM card linked to wXkPWXCU has been blocked.,spam
Can you review my code update 22vMs?,ham
I will reach office by 12:42.,ham
Urgent: Your ATM card linked to XuriKJMN has been blocked.,spam
Verify your KYC details to receive ₹6373 cashback.,spam
Can you review my code update cjGsi?,ham
Can you review my code update UArey?,ham
Did you submit the assignment for Python?,ham
Urgent: Your ATM card linked to K4lx8ECe has been blocked.,spam
"Hey, are we meeting at Railway Station around 6:50?",ham
Please send the files for project DS7uX.,ham
Exclusive reward for user P6uZRL. Redeem before midnight.,spam
Please send the files for project OFBKh.,ham
Please send the files for project vUH2o.,ham
Meeting moved to 10:29 at Mall.,ham
Urgent: Your ATM card linked to zCPfzALl has been blocked.,spam
Win a free Headphones today! Offer code zKvuh.,spam
I will reach office by 10:55.,ham
Meeting moved to 5:29 at Mall.,ham
Your loan of ₹14180 is pre-approved. Apply instantly.,spam
Can you review my code update fMi1u?,ham
Win a free Headphones today! Offer code txIKc.,spam
Reminder: appointment scheduled on 6/12/2025.,ham
Please send the files for project QGF9U.,ham
Urgent: Your ATM card linked to xxrVA6wa has been blocked.,spam
Win a free Laptop today! Offer code 6Ibvx.,spam
Your loan of ₹3845 is pre-approved. Apply instantly.,spam
Meeting moved to 11:31 at Restaurant.,ham
Please send the files for project VwH1r.,ham
"Hey, are we meeting at Restaurant around 12:51?",ham
Win a free Laptop today! Offer code hrXqA.,spam
Urgent: Your ATM card linked to QWsJzeEs has been blocked.,spam
Can you review my code update 1vPaC?,ham
"Hey, are we meeting at Café Coffee Day around 1:57?",ham
Your loan of ₹4541 is pre-approved. Apply instantly.,spam
Your loan of ₹5813 is pre-approved. Apply instantly.,spam
Reminder: appointment scheduled on 5/12/2025.,ham
Your account O5FcuvLc needs urgent verification.,spam
Meeting moved to 8:39 at Office.,ham
Meeting moved to 9:53 at Office.,ham
Your loan of ₹10656 is pre-approved. Apply instantly.,spam
Please send the files for project q8iDn.,ham
Please send the files for project NdRjG.,ham
Reminder: appointment scheduled on 16/12/2025.,ham
Congratulations! You have won ₹14325. Claim now!,spam
Exclusive reward for user 3k9EPo. Redeem before midnight.,spam
I will reach office by 1:55.,ham
Win a free Gift Card today! Offer code kaj9I.,spam
I will reach office by 6:30.,ham
Urgent: Your ATM card linked to WI8TKUKj has been blocked.,spam
I will reach office by 2:55.,ham
Congratulations! You have won ₹1492. Claim now!,spam
Verify your KYC details to receive ₹2478 cashback.,spam
Verify your KYC details to receive ₹2690 cashback.,spam
Your loan of ₹16616 is pre-approved. Apply instantly.,spam
Meeting moved to 2:12 at SG Highway.,ham
Verify your KYC details to receive ₹14173 cashback.,spam
Your account lZmPDMt8 needs urgent verification.,spam
Can you review my code update X184s?,ham
Exclusive reward for user nWMNUU. Redeem before midnight.,spam
Meeting moved to 6:21 at Café Coffee Day.,ham
Verify your KYC details to receive ₹4236 cashback.,spam
I will reach office by 2:32.,ham
Meeting moved to 2:14 at Restaurant.,ham
Urgent: Your ATM card linked to vl1EKzFD has been blocked.,spam
Please send the files for project b84n7.,ham
Your loan of ₹3444 is pre-approved. Apply instantly.,spam
I will reach office by 2:14.,ham
Verify your KYC details to receive ₹12879 cashback.,spam
I will reach office by 1:57.,ham
Verify your KYC details to receive ₹7922 cashback.,spam
Meeting moved to 5:36 at Café Coffee Day.,ham
Your account TtdLVVdF needs urgent verification.,spam
Urgent: Your ATM card linked to jL3gx0mw has been blocked.,spam
Your loan of ₹6302 is pre-approved. Apply instantly.,spam
Please send the files for project bxlRO.,ham
